id,name,country,description,category,ingredients,instructions
e3978341-c173-429b-89b5-ab670d95ab78,Clafoutis abricots-citron,France,"Un clafoutis frais et léger aux abricots juteux et à la saveur citronnée, parfait pour un dessert d'été.",Clafoutis,"[""8 Abricot(s)"", ""2 Citron(s)"", ""20 cl Lait"", ""20 cl Crème liquide"", ""3 Œuf(s)"", ""100 g Sucre en poudre"", ""40 g Sucre glace"", ""50 g Farine"", ""1 pincée(s) Sel"", ""Pour le moule"", ""20 g Beurre"", ""1 c. à soupe Sucre""]","[""Préchauffez le four sur thermostat 6 (180° C).Beurrez un plat à gratin et saupoudrez-le d'une cuillère à soupe de sucre."", ""Rincez et séchez les abricots.Coupez-les en deux,disposez-les dans le plat,côté coupé vers le haut."", ""Fouettez 2 oeufs et 1 jaune avec le sucre pendant 2 minutes. Incorporez la farine,le zeste finement râpé d'un citron et le jus des deux. Délayez le"", ""Mélange au fouet en versant progressivement le lait et la crème."", ""Nappez les abricots de cette préparation.Enfournez et laissez cuire 35 minutes environ."", ""Entre-temps,montez le dernier blanc d'oeuf en neige ferme avec la pincée de sel.A la fin de l'opération,incorporez le sucre glace."", ""Versez sur le clafoutis et faites dorer 5 min sous le gril du four chauffé au rouge."", ""Servez tiède.""]"
8b8293ed-b96d-419d-9a4c-860ff36ace37,Mozaik Kek,Turkey,"Görsel şölen sunan pratik ve lezzetli mozaik kek, çay saatlerinin vazgeçilmezi.",Tatlı,"[""3 adet yumurta"", ""1 büyük su bardağı şeker"", ""1 su bardağı süt"", ""2 yemek kaşığı yoğurt"", ""1 su bardağı sıvı yağ"", ""1 paket kabartma tozu"", ""1 paket vanilya"", ""2 yemek kaşığı kakao"", ""2 su bardağı (tepeleme) elenmiş un""]","[""Yumurtanın beyazlarını ayırıp köpük olana kadar çırpıyoruz."", ""Şeker, yumurta sarıları, süt, sıvı yağ, yoğurt ve unu ayrı bir kapta çırpıyoruz."", ""Yumurta aklarını bu karışıma köpüğü fazla söndürmeden yediriyoruz."", ""Kabartma tozu ve vanilyayı ekliyoruz son bir kez çırpıyoruz."", ""Kek karışımının yarısını ayırıp 2 yemek kaşığı kakao ile çırpıyoruz."", ""Yağlayıp unladığımız kalıba önce sade daha sonra da kakaolu karışımı döküyoruz. Bir kaşık yardımıyla şekil veriyoruz.""]"
3fb64913-e7d0-421c-89c5-76c9c1b68b4c,Fit Kek,Turkey,"Sağlıklı ve lezzetli fit kek, doğal tatlandırıcılarla hazırlanan hafif bir tatlı seçeneği.",Tatlı,"[""2 adet yumurta"", ""5 yemek kaşığı pekmez"", ""1/2 su bardağı ceviz içi"", ""1 paket kabartma tozu"", ""1 paket vanilin"", ""1 adet elma"", ""1 adet havuç"", ""1 su bardağı süt"", ""2 su bardağı yulaf kepeği"", ""2 yemek kaşığı sıvı yağ""]","[""Bir kabın içinde yumurta ve pekmezi çırpın. Elmayı ve havucu rendeleyin."", ""Çırpmış olduğunuz kaba; rendelenmiş havucu, elmayı ve kalan tüm malzemeleri ekleyip iyice karıştırın."", ""Muffin kalıplarına dökün. (Normal kek kalıbına da dökebilirsiniz.)"", ""175 derecede 25 dakika pişirin. Afiyet olsun.""]"
35a1fe5c-0a6f-43e3-9da8-2a1de8296de2,Brokoli Köfte,Turkey,Brokoli ve baharatlarla hazırlanan lezzetli ve sağlıklı köfteler. Hem pratik hem de besleyici bir alternatif.,Et Yemekleri,"[""500 gram brokoli"", ""1 adet soğan"", ""2 adet yumurta"", ""2 yemek kaşığı un"", ""1 su bardağı lor peyniri"", ""1 çay kaşığı kimyon"", ""1 çay kaşığı karabiber ve pulbiber""]","[""Brokoliyi 10 dakika haşlayıp robottan geçiriyoruz. Daha sonrasında minik minik doğranmış soğanları ve yumurtayı ekleyip karıştırıyoruz."", ""Sonrasında unu, peyniri ve baharatları ekliyoruz. Karıştırıp yuvarlak forma sokup yağlı kağıtlı tepsiye dizip 200 derecede 20 dakika pişiriyoruz. Afiyet olsun.""]"
75102546-5954-4967-93c6-23570fde5047,"Receta de tilapia al horno, la opción sencilla para asar pescado y que quede perfecto",Spain,"Receta sencilla de tilapia al horno, una opción saludable y rápida para disfrutar de un pescado perfecto con apenas esfuerzo.",Plato Principal,"[""Mesa Cero Chefs y Jaime de las Heras"", ""Mesa Cero Chefs y Jaime de las Heras"", ""Cocinar pescado al hornosiempre es una buena herramienta para comer más sano, ligero y rápido sin apenas complicaciones. Sin apenas grasas añadidas y sin necesitar un control muy exhaustivo de la cocción, recurrir al horno nos garantiza un plato resultón en cuestión de minutos."", ""Es el caso de esta tilapia al horno, unpescado blanco muy popularen las costas de América Latina y de Asia, de donde provienen la mayor parte de las capturas, siendo muy habitual su presencia en acuicultura.""]","[""Mesa Cero Chefs y Jaime de las Heras"", ""Mesa Cero Chefs y Jaime de las Heras"", ""Cocinar pescado al hornosiempre es una buena herramienta para comer más sano, ligero y rápido sin apenas complicaciones. Sin apenas grasas añadidas y sin necesitar un control muy exhaustivo de la cocción, recurrir al horno nos garantiza un plato resultón en cuestión de minutos."", ""Es el caso de esta tilapia al horno, unpescado blanco muy popularen las costas de América Latina y de Asia, de donde provienen la mayor parte de las capturas, siendo muy habitual su presencia en acuicultura."", ""Sutil, baja en grasa yrica en proteínas(unos 20 gramos por cada 100 de producto), la tilapia es un pescado accesible y asequible con muy pocas espinas al que un ratito de horno le puede sentar de maravilla."", ""Para redondear la experiencia, una buenafritada de pimientosque irán al horno con la propia tilapia, además de un chorrito de vino blanco que elevará el sabor y el tono de la receta para comprobar cómo podemos mejorar cualquier plato en apenas un par de gestos."", ""Precalentamos el horno a 180 ºC mientras vamos preparando los pimientos. Para ello loscortamos en aros de un centímetro de grosor,los salamos y los salteamos en una sartén durante un par de minutos a fuego fuerte."", ""Cuando estén listos, los ponemos en una bandeja de horno a modo de cama. Salpimentamos la tilapia, la colocamos sobre los pimientos, añadimos un chorrito de aceite de oliva a la tilapia yvertemos el vino blancoen la base de la fuente."", ""Horneamos el conjunto a 180 ºCdurante cinco o diez minutos en función del tamaño del filete de la tilapia. Servimos inmediatamente, acompañando la tilapia con la fritada de pimientos."", ""Pyrex OPTIMUM - Fuente de forma rectangular, 31 x 20 cm"", ""Si no tenemos tilapia y tenemoscualquier otro pescado blancola receta funcionará igual de bien. Podemos imitarla con los lomos de otras especies como lalubina, ladoradao la corvina, e incluso con pescados azules también nos puede ir bastante bien."", ""Además del pimiento para la guarnición podemosasar también unos tomateso unos trocitos de cebolla, finamente picada, que ayudarán a levantar el conjunto y ganarán mucha potencia con el sabor del vino blanco."", ""En DAP |Seis recetas de dorada al horno tan rápidas como fáciles y caserasEn DAP |Lubina al horno fácil y rápida, la receta de pescado al horno que siempre te quedará bien""]"
55eac282-c503-49fb-8e6c-c6e54c594ac3,"Receta de champiñones en salsa, un clásico que no falla para cualquier comida",Spain,"Deliciosos champiñones en una exquisita salsa de vino blanco, un clásico versátil que nunca falla para acompañar cualquier comida.",Salsas,"[""Mesa Cero Chefs y Jaime de las Heras"", ""Mesa Cero Chefs y Jaime de las Heras"", ""Es difícil no amar los champiñones, el hongo más barato, dispuesto y versátil que tenemos entre nosotros y el rey de nuestras sabrosasrecetas con champiñonesal que hoy preparamos con unasalsa a base de vino blanco."", ""Es una opción, claro, pues puedeshacer champiñones en salsade mil maneras diferente. Así, a bote pronto, bien le quedaría que los hiciéramos ensalsa oscura, ensalsa española, en salsa andaluza e incluso ensalsa de tomate.""]","[""Mesa Cero Chefs y Jaime de las Heras"", ""Mesa Cero Chefs y Jaime de las Heras"", ""Es difícil no amar los champiñones, el hongo más barato, dispuesto y versátil que tenemos entre nosotros y el rey de nuestras sabrosasrecetas con champiñonesal que hoy preparamos con unasalsa a base de vino blanco."", ""Es una opción, claro, pues puedeshacer champiñones en salsade mil maneras diferente. Así, a bote pronto, bien le quedaría que los hiciéramos ensalsa oscura, ensalsa española, en salsa andaluza e incluso ensalsa de tomate."", ""La clave está en que no cocinemos los champiñones más de la cuenta al principio, pues luego tendremos queterminar de cocerlos en la salsa, dejando que queden bien jugosos y tiernos, pero también cargados de sabor."", ""Perfecta comoaperitivo o como primer plato, esta receta se suma al carrusel de preparaciones con hongos y setas que hemos hecho como loschampiñones al ajillo, loschampiñones rellenoso loschampiñones a la plancha."", ""Marcar los champiñones con un poco de aceitehasta que tengan un poco de color por ambos lados y reservar."", ""Añadir un poco más de aceite ypochar la cebolla y el ajo cortadosen brunoise y la zanahoria en paisana."", ""Cuando la cebolla este transparente, ponemos el brandy y el vino blanco yreducimos a seco."", ""Ponemos una cucharada mas de aceite y cocinamos la harina durante un minuto.Vertemos el caldo de verduras calientede golpe moviendo para que no salgan grumos."", ""Por últimoechamos los guisantes y los champiñonesy dejamos cocinar diez minutos más."", ""BRA PRIOR - Grill asador con rayas, 28 cm, aluminio fundido con antiadherente Teflon Innovations, apto para todo tipo de cocinas incluida inducción"", ""En este caso, además de una buena cantidad de pan para sopar la salsa, otra buena alternativa sería hacer unarroz blancoo regar con esta salsa una pasta cocida, convirtiendo la receta en unplato único de libro."", ""En DAP |49 recetas con setas y hongos para sacarle todo el sabor al otoñoEn DAP |Las 15 salsas que todo cocinero tiene que saber hacer""]"
eb2d7f0a-ecbc-4547-9299-4ee86bd2943d,Salamlı Mıhlama,Turkey,Tereyağında kızartılan mısır unuyla hazırlanan geleneksel ve lezzetli bir kahvaltılık.,Ana Yemek,"[""3 yemek kaşığı tereyağ"", ""2 yemek kaşığı mısır unu"", ""1,5 su bardağı su"", ""2 su bardağı mıhlama peyniri""]","[""Tereyağını erittikten sonra mısır unuyla beraber karıştırıp muhallebi kıvamına getiriyoruz."", ""Karışıma salamları ekleyip tavada çeviriyoruz."", ""Suyunu ekleyip en son peynirini eritip afiyetle yiyoruz.""]"
ed0bcd0a-c464-4fd9-9029-ff0e4a455405,Makarna Salatası,Turkey,"Taze sebzelerle hazırlanan ferahlatıcı makarna salatası, özellikle yaz aylarında tercih edilen pratik bir lezzet.",Salata,"[""1 adet kereviz kökü"", ""2 adet havuç"", ""1 su bardağı kelebek makarna"", ""1 adet tavuk göğsü"", ""1 adet kapya biber""]","[""Havuç ve kereviz kökünü rendeleyip çok az zeytinyağında soteleyin. Üzerine ince ince doğranmış kapya biberleri ekleyip pişirin ve soğumaya bırakın."", ""Haşlanan tavuk göğsünü didikleyin."", ""1 su bardağı makarnayı haşlayın ve süzün. Hazırlanan tüm malzemeler derin bir kapta birleştirin."", ""Üzerine bol yoğurt ve biraz tuz, biraz pul biber ilave edip karıştırın. Son olarak dövülmüş ceviz içleri ile servis edebilirsiniz. Deneyenlere şimdiden afiyet olsun.""]"
f0caf452-723e-4c38-8285-071aead8471d,Kakaolu Yulaf Lapası,Turkey,"Lezzetli ve besleyici kakaolu yulaf lapası, kahvaltıda veya ara öğünde enerji verici bir seçenektir.",Ana Yemek,"[""1 su bardağı süt"", ""1 adet ezilmiş muz"", ""1 çay kaşığı vanilya"", ""1 çay kaşığı Hindistan cevizi yağı"", ""1 tatlı kaşığı ham kakao"", ""1 tatlı kaşığı ham kakao parça ları"", ""1 adet kivi"", ""1 tatlı kaşığı fıstık ezmesi"", ""1 çay kaşığı muskat cevizi rendesi""]","[""Yulafı rondodan geçirelim. Derin bir tavaya süt, yulaf, muz, vanilya, muskat rendesi ve kakaoyu ekleyerek puding kıvamını alana dek pişirelim."", ""Lapayı bir kaba alalım. Üzerine kivi dilimleyelim."", ""Fıstık ezmesi ve ham kakao parçacıkları ile süsleyelim.""]"
0c97a59e-2ee0-4ed2-aee0-4b7c6f73e236,Frenkli Ispanak Salatası,Turkey,Taze frenkli ıspanakların badem ve kerevizle buluştuğu hafif ve lezzetli bir salata.,Salata,"[""1/4 adet küçük boy kereviz"", ""2 yemek kaşığı zeytinyağı"", ""8 adet çiğ badem"", ""1 bardak yoğurt""]","[""Maydanozu ve ıspanağı karbonat eklediğiniz suda 10 dakika bekletin."", ""Kerevizin çeyreğini rendeleyin, bir tabağa aktarın."", ""Üzerine maydanozu ve dereotunu ince ince kıyın ve ekleyin. Ispanakları elinizle parçalayın ve tabağa ekleyin."", ""Yoğurdunuzu çırpın. İçine 1 çimdik kaya tuzu ve dövdüğünüz küçük diş sarımsağı ekleyin ve karıştırın. Afiyet olsun.""]"
