id,name,country,description,category,ingredients,instructions
cf4b4fd6-56f7-4fb6-86a9-a91f36150e1a,Seitan,France,"Le seitan est un substitut à la viande que l’on trouve en général tout prêt en magasin bio et qui peut être utilisé dans d’autres recettes vegan : steaks végétaux, poêlées de légumes, farcis, etc. Riche en protéines, tout simple à accommoder, le seitan a tout pour plaire ! Pourtant, on pense rarement à faire son seitan maison. Dommage quand on sait qu’il faut moins de 30 minutes pour préparer un seitan bien meilleur que celui que l’on trouve au supermarché ! Nous, on se lance et on vous laisse découvrir la recette.",Entrees,"[""150 g Gluten de blé"", ""3 c. à soupe Bouillon de légumes"", ""1 Oignon(s)"", ""1 Gousse Ail"", ""1 c. à soupe Levure"", ""1 c. à soupe Concentré de tomate"", ""1 branche(s) Thym"", ""Sel poivre""]","[""Commencez par préparer la pâte de seitan. Mélangez 250ml d’eau avec une cuillère à soupe de bouillon de légumes en poudre. Salez et poivrez selon vos goûts. Dans un grand saladier, déposez la farine de gluten et la levure maltée puis ajoutez le bouillon petit à petit. Il faut bien pétrir la pâte, elle ne doit pas devenir liquide. Vous pouvez utiliser un peu plus de farine de gluten si besoin, la bonne consistance peut être un peu difficile à obtenir, surtout si vous faites cette recette pour la première fois."", ""Formez une boule avec la pâte ainsi obtenue et découpez-la en 6 tranches. Il n’y a pas besoin de laisser reposer."", ""Ensuite, préparez le bouillon. Pour cela, écrasez la gousse d’ail et émincez l’oignon, préalablement épluché. Remplissez une casserole d’eau et ajoutez 2 cuillères à soupe de bouillon de légumes en poudre, l’ail, l’oignon, le thym et le concentré de tomates. Salez et poivrez pour que le bouillon soit goûteux. Faites chauffer le bouillon à feu doux, il ne doit pas bouillir."", ""Plongez les tranches de pâtes dans le bouillon et faire cuire à feu doux pendant 30 à 45 minutes. Le liquide ne doit jamais bouillir, on recommande de ne pas couvrir complètement la casserole. Le seitan va gonfler, il suffira de le couper en petits morceaux après cuisson pour ensuite l’intégrer à vos recettes préférées.""]"
9a7dacad-8e5f-4d48-ab5f-e2803636f4ba,Sauce vanille pour poisson,France,A sweet and creamy vanilla sauce for fish.,Sauces,"[""20 cl Vin blanc sec"", ""15 cl Crème fraiche liquide"", ""1 Gousse Vanille"", ""2 c. à soupe Huile d'olive"", ""1 pincée(s) Ail en poudre""]","[""Dans une casserole, versez le vin blanc sec."", ""Fendez la gousse de vanille en deux, dans le sens de la longueur, et grattez-la afin de récupérer ses graines."", ""Ajoutez la gousse et les graines de vanille dans la casserole. Mélangez."", ""Placez la casserole à feu doux et laissez chauffer jusqu'à la première ébullition."", ""A l’ébullition, ajoutez la crème fraîche liquide et l'ail en poudre. Mélangez."", ""Baissez le feu à feu doux et laissez réduire pendant 35 à 40 minutes en remuant bien."", ""Au bout de ce temps, retirez la gousse de vanille de la sauce vanillée."", ""Servez de suite cette sauce vanillée, pendant qu’elle est encore bien chaude, sur des filets de poisson cuits simplement à la poêle. Accompagnez-la avec des tagliatelles fraîches ou du riz blanc cuit.""]"
8d751039-89a3-4b4d-8b7b-ca36846268ec,Bisque de homard au Thermomix,France,"Savez-vous que vous pouvez réaliser une parfaite bisque de homard au Thermomix ? En effet, le robot cuiseur vous permet de préparer très facilement une soupe de homard inégalable. Vous pouvez utiliser du homard frais ou surgelé et utiliser cette bisque comme base pour d’autres recettes. Une recette incontournable en période de fêtes !",Soupes,"[""2 Homard(s)"", ""700 g Eau"", ""50 cl Vin blanc"", ""2 c. à soupe Pastis"", ""3 c. à soupe Huile d'olive"", ""100 g Oignon(s)"", ""200 g Poireau(x)"", ""200 g Crème entière liquide"", ""70 g Concentré de tomate"", ""2 Carotte(s)"", ""2 Gousse(s) d'ail"", ""1 feuilles Laurier"", ""Sel, poivre""]","[""Pelez l’oignon et l’ail. Coupez-les en morceaux dans le bol du Thermomix. Hachez-les 5 sec, vitesse 5. Raclez les parois du bol avec la spatule."", ""Ajoutez l’huile d'olive et faites suer 3 min, Varoma, vitesse 1."", ""Pelez et coupez en morceaux le poireau et les carottes. Faites cuire 5 min, 100 °C, sens inverse, vitesse 2."", ""Versez le pastis et le vin blanc. Faites chauffer 3 min, Varoma, vitesse 1."", ""Coupez les homards en morceaux (les pinces d’un côté puis le corps en tronçons). Ajoutez-les dans la cuve du robot. Recouvrez avec 600 g d’eau (gardez 100 g pour rectifier le niveau éventuellement plus tard). Faites cuire 30 min, 100 °C, sens inverse, vitesse 2.?"", ""Au terme de la cuisson, débarrassez les morceaux de homard. Sortez la chair et mettez délicatement de côté les pinces. Remettez la chair dans le bol du Thermomix ainsi que quelques morceaux de carapace (environ un tiers de la carapace)."", ""Ajoutez tout ou partie de l’eau réservée et mixez 1 min, vitesse 10. Salez et poivrez selon votre goût."", ""Versez la crème et mélangez 20 sec, vitesse 4, si la texture vous convient. Sinon, si vous souhaitez une bisque encore plus lisse, mixez 20 sec, vitesse 8."", ""Servez immédiatement avec une pince de homard plantée dans l’assiette et décorez avec des tiges de ciboulette ou des feuilles de persil.""]"
36ca439d-e4ff-439f-9d8a-cf2ee61be3c3,Carré d’agneau grillé et ses légumes de saison,France,"Le Chef Norbert Tarayre nous fait l'honneur de réaliser un délicieux menu ""à la française"" avec les produits Ninja Kitchen France. Grâce au Grill d'intérieur et au Multicuiseur Ninja Foodi MAX, vous pourrez vous aussi réaliser ce menu ! Découvrez le plat de ce menu ""à la française"".",Agneau,"[""2 carré(s) Agneau"", ""6 Côte première d'agneau"", ""1 c. à café Paprika fumé"", ""5 c. à soupe Huile neutre"", ""1 c. à café Fleur de sel"", ""2 Poivron(s) rouge(s)"", ""155 g Noix"", ""2 c. à soupe Graine de grenade"", ""60 g Poudre d'amandes"", ""24 g Mélasse"", ""2 Gousse(s) d'ail"", ""2 c. à soupe Jus de citron"", ""1 c. à café Cumin en poudre"", ""1 c. à café Piment de cayenne"", ""1 c. à café Sel fin"", ""4 c. à soupe Huile d'olive"", ""Carotte(s) fane"", ""1 Jus d'orange"", ""1 c. à café Gomasio"", ""Curcuma"", ""180 g Quinoa"", ""1 Oignon(s) émincé(s)"", ""25 cl Bouillon de volaille""]","[""Pour la préparation de la viande, mélangez l’huile et le paprika fumé et badigeonnez les carrés d’agneau avec le mélange à l’aide d’un pinceau et salez. Pour la cuisson au Grill Ninja Foodi Max, sélectionnez le type de viande « Agneau » et préchauffez l'appareil (cuisson 220°C, fonction GRILL). Une fois le préchauffage terminé, placez la sonde dans la chair de l’agneau et déposez la viande dans le grill. Inutile de retourner la viande : quand elle est cuite, un “bip” retentit."", ""Passez à la préparation des poivrons pour le Muhammara à la grenade. Déposez-les entiers dans l’appareil, fonction ROAST à 200°C pendant 25 minutes. Disposez les poivrons rôtis dans une boîte hermétique et refermez le couvercle, puis pelez les poivrons rouges, coupez-les en deux et épépinez-les. Ensuite, torréfiez les noix en les plaçant dans le cuiseur, fonction ROAST, 200°C. Mélangez tous les ingrédients du Muhammara à la grenade dans le blender, sauf l’huile d’olive et mixez finement. Ajoutez l’huile d’olive puis mixez à nouveau jusqu’à l’obtention d’une texture lisse comme un houmous."", ""Dans le multicuiseur Ninja Foodi Max, déposez les carottes entières en laissant 6 cm de tiges. Sur les carottes, versez le mélange d’huile d’olive et de jus d’orange, et laissez infuser 5 minutes. Ensuite, lancez la cuisson, fonction ROAST à 200°C pendant 25 minutes. Préchauffez et déposez les carottes, le Ninja Foodi Max s’occupe de tout !"", ""Passez à la préparation du quinoa. Placez tous les ingrédients dans la cuve du multicuiseur et laissez cuire 5 minutes maximum à 200°C."", ""Dressez votre plat en disposant les carrés d’agneau détaillés sur leur lit de quinoa, puis agrémentez le tout de quelques carottes et d’une cuillère à soupe de Muhammara à la grenade. Ajoutez quelques noix et dégustez aussitôt !""]"
1dfe24be-ca46-4b40-a3e4-79279a166222,Burritos de pollo y guacamole,Spain,Cómo hacer burritos de pollo y guacamole. Una receta mexicana a base de las tradicionales tortillas de trigo que acepta variedad de rellenos.,Plato Principal,"[""300 g. de pechuga de pollo (entera)"", ""1 cebolla"", ""1 pimiento rojo"", ""1 pimiento verde"", ""2 aguacates"", ""1 tomate"", ""1 lima"", ""1 taco de queso cheddar (para rallar)"", ""1 cucharada de Mix de especias mexicanas"", ""Salsa picante (al gusto)"", ""4 tortillas mexicanas de trigo grandes (ya precocinadas)"", ""Aceite de oliva virgen extra"", ""Sal""]","[""Calentamos las tortillas de trigo (que ya vienen precocinadas), en una sartén amplia o en el microondas. Con un minuto por cada lado es suficiente. De todas maneras, mirad las instrucciones del paquete."", ""Para el montaje del burrito, colocamos una base de relleno de la sartén, seguimos con elguacamoley finalmente rallamos queso. Con las manos, cerramos la tortilla haciendo un paquete."", ""Para presentar en la mesa, cortamos los burritos por la mitad. Acompañamos de salsa picante, en un cuenco, por si alguien quiere darle más alegría al plato.""]"
c3ebaad0-fdbf-4b95-a926-d20e0e632fe5,Verrines de Noël au foie gras,France,"<p>Pour changer des toasts traditionnels, misez sur les saveurs sucrées-salées de ces verrines de Noël au foie gras. Aussi surprenantes que festives, elles associent le foie gras à la poire caramélisée, une astuce de gourmet qui allège et enrichit le plus classique des ingrédients de fête&nbsp;! Les pignons de pin ajoutent une note croquante, le mélange 4 épices assure les saveurs typiques de fin d'année et le tout se cuisine en un rien de temps pour de jolies verrines qui en mettent plein les papilles.</p>",Apéritif,"[""50 g Foie gras"", ""2 Poire(s)"", ""1 c. à café Miel"", ""1 c. à café Sucre"", ""2 noix Beurre"", ""1 c. à café Mélange 4 épices"", ""1 poignée(s) Pignon(s) de pin"", ""Fleur de sel"", ""Poivre""]","[""Épluchez la poire, épépinez-la puis coupez-la en petits dés. Faites fondre le beurre dans une poêle, ajoutez la poire et saupoudrez de sucre. Faites revenir 5 min en remuant. Ajoutez le miel et le 4 épices, mélangez et laissez caraméliser 5 min de plus en remuant de temps en temps. Retirez du feu et laissez refroidir."", ""Coupez le foie gras en petits dés. Torréfiez les pignons de pin quelques minutes dans une poêle à sec. Alternez la poire, le foie gras et les pignons dans des verrines. Servez ou réservez au réfrigérateur.""]"
b655eebb-1632-4cf4-9cb6-3a22eb74a11c,Parmentier d'agneau confit,France,,Hachis,"[""750 g Épaule d'agneau"", ""900 g Pomme de terre Bintje"", ""2 Oignon(s)"", ""3 cl Bouillon"", ""130 g Beurre"", ""3 c. à soupe Chapelure"", ""3 c. à soupe Crème fraîche"", ""2 c. à soupe Miel"", ""3 c. à soupe Huile d'olive"", ""1.5 c. à café Graine de coriandre"", ""6 feuilles Sauge"", ""1.5 c. à café Mélange de 5 épices"", ""2 pincée(s) Noix muscade"", ""Sel poivre du moulin""]","[""Coupez la viande en très fines aiguillettes. Pilez les graines de coriandre. Pelez les oignons, émincez-les finement et faites-les revenir sur feu moyen dans une cocotte avec l'huile d'olive la coriandre."", ""Ajoutez la viande, les feuilles de sauge, le mélange 5 épices, une pincée de sel et de poivre. Mélangez puis ajoutez le miel et laissez cuire jusqu'à ce que la viande commence à dorer. Ajoutez alors le bouillon, couvrez et laissez cuire sur feu très doux pendant 20 à 25 min. Mélangez de temps à autre et surveillez qu'il reste toujours un peu de liquide au fond de la cocotte. S'il reste trop de liquide en fin de cuisson, poursuivez la cuisson à découvert en mélangeant."", ""Pendant ce temps, pelez les pommes de  terres et faites-les cuire 30 min environ à la vapeur ou à l'eau froide (salée 15 min après le début de la cuisson)."", ""Lorsque les pommes de terre sont cuites, égouttez-les bien et passez-les au presse-purée ou au moulin à légumes, mettez les pommes de terre écrasées dans une casserole posée sur feu doux et incorporez 75 g de beurre très froid en parcelles puis la crème fraîche. Poudrez de noix muscade, salez et poivrez."", ""Préchauffez le four th.6 (180°C)."", ""Huilez les parois intérieures de 6 cercles de métal, tapissez-les d'une bande de papier sulfurisé, posez-les sur la plaque du four recouverte d'une feuille de papier sulfurisé garnissez-les confit d'agneau puis ajoutez la purée par-dessus, ajoutez le reste de beurre en noisettes et parsemez de chapelure. Glissez 20 min au four puis prélevez les cercles avec une spatule, posez-les sur des assiettes chaudes, retirez délicatement les cercles, décollez le papier sulfurisé et servez aussitôt avec une belle salade.""]"
0fd23bf7-432a-4269-b5ae-e6d4576a320a,Paris-Quimper (crème au caramel au beurre salé),France,"Pour les amateurs du Paris Brest et du caramel au beurre salé, une crème onctueuse et généreuse, une pâte à choux légèrement craquante ou comment bluffer vos convives avec une recette on ne peut plus facile à réaliser 

retrouvez moi sur ma page facebook ;) 

https://www.facebook.com/fiftyshadesofcream/posts/684842181655505",Desserts,"[""160 g Eau"", ""160 g Lait"", ""4 g Sel"", ""6 g Sucre"", ""160 g Beurre"", ""160 g Farine"", ""280 g Œuf(s)"", ""Gavotte"", ""110 g Beurre demi-sel"", ""3 feuilles Gélatine"", ""155 g Sucre en poudre"", ""220 mg Crème liquide (30% MG minimum)"", ""220 g Mascarpone""]","[""Faites bouillir l'eau, le beurre, le sucre et le sel."", ""Lorsque le beurre est bien fondu et hors du feu, ajoutez la farine en une seule fois."", ""Mélangez bien pour former une boule qui se décolle des parois de la casserole (si cela ne se produit pas, remettez la casserole sur feu très doux, le temps que la pâte soit suffisamment sèche pour se décoller)."", ""Cassez les œuf et mélangez-les."", ""Ajoutez-les à la pâte en 3 fois en mélangeant énergiquement entre chaque ajout."", ""Versez la pâte dans une poche à douille munie d'une douille lisse de 1cm."", ""Dessinez un rond de 20cm de diamètre sur une feuille de papier cuisson."", ""Formez un premier rond sur le trait puis un deuxième rond à l'intérieur du premier et collé à ce dernier. Réalisez une dernière couronne à cheval sur ces dernières."", ""Saupoudrez de gavottes écrasées. Faites cuire 45-50 minutes à 180°C."", ""Pour le crémeux au caramel au beurre salé : faites ramollir la gélatine dans un bol d'eau froide."", ""Faites cuire le sucre jusqu'à obtenir un caramel ambré."", ""Décuisez-le avec le beurre en l'ajoutant en plusieurs fois."", ""Incorporez alors la gélatine puis la crème."", ""Attendez que le mélange descende à 50°C avant d'ajouter le mascarpone."", ""Mixez au mixer plongeant pour bien lisser la préparation."", ""Conservez au frais 12 heures (je n'ai laissé au frais que durant 3 h et ça a fonctionné);"", ""Pour le montage et la finition : versez le mélange au caramel dans le bol du robot et fouettez pour alléger la préparation."", ""Versez dans une poche munie d'une douille cannelée. Coupez la couronne en deux dans le sens de l'épaisseur et pochez la crème."", ""Remettez le chapeau de pâte. Réservez au frais.""]"
64ceeb84-fdad-4034-a2b1-9d7921b6567b,Soupe crémeuse aux fanes de radis et poudre de jambon,France,"jambon cru, pomme de terre, oignon blanc, bouillon de légumes, radis, crème fraîche, sel, poivre",soupe,"[""2 tranches de jambon cru"", ""3 pommes de terre moyennes"", ""3 oignons blancs nouveaux"", ""75 cl de bouillon de légumes"", ""botte de radis , lavées, triées et égouttées"", ""15 cl de crème fraîche"", ""sel"", ""poivre""]","[""Huilez une plaque à pâtisserie et étalez-y les tranches de jambon en les lissant bien. Passez-les 12 min au four à 180°C (thermostat 6), puis laissez-les tiédir et décollez-les de la plaque. Elles doivent être croustillantes. Émiettez-les à la main ou au hachoir. Réservez."", ""Épluchez les pommes de terre et oignons. Lavez-les et coupez-les en cubes. Dans une grande casserole, couvrez-les de bouillon et portez à ébullition."", ""Ajoutez les fanes de radis, mélangez, couvrez et portez de nouveau à ébullition et laissez cuire 30 min sur feu doux."", ""Laissez tiédir avant de passer cette soupe au mixeur. Ajoutez la crème et rectifiez l'assaisonnement."", ""Servez chaud après avoir saupoudrer de poudre de jambon.""]"
98cbf035-0def-460d-96f8-1f8b8b2c3cdc,Receta de Tlacoyos hidalguenses,Spain,"Los tlacoyos son un antojito mexicano muy popular y la preparación es muy variada, pues sus ingredientes cambian en las diferentes partes de México donde se prepara. Debes probarlos aunque sea una vez y una de las versiones más ricas es sin duda la de esta receta de tlacoyos hidalguenses, originarios de Hidalgo en el centro del país.Los tlacoyos suelen ir bañados en una salsa de chile verde y tomatillo acompañados de cebolla, queso y rábano. Entonces, si tienes todos los ingredientes listos, sigue leyendo y descubre cómo hacer tlacoyos hidalguenses de frijol para compartir con tu familia uno de los miles de sabores que la cocina mexicana tradicional tiene para todos los paladares.",Desayuno,"[""700 gramos de harina de maíz"", ""2 tazas de agua                                                                    (480 mililitros)"", ""400 gramos de frijoles refritos"", ""1 pizca de sal"", ""1 trozo de cebolla pequeño"", ""1 cucharada sopera de aceite"", ""1 kilogramo de tomatillo verde"", ""3 chiles serranos"", ""1 trozo de cebolla"", ""1 diente de ajo"", ""Cebolla picada"", ""Queso fresco"", ""Crema acida"", ""Rábano en rodajas""]","[""Para comenzar la receta de tlacoyos estilo Hidalgo, prepara la salsa. En una olla coloca los tomatillos verdes, los chiles serranos, el diente de ajo y el trozo de cebolla con suficiente agua para hiervan."", ""Cuando hayan hervido, licua todo, calienta una cucharada de aceite y unos trocitos de cebolla y sofríe la salsa por 5 minutos, sazona con un poco de sal al gusto y reserva."", ""Ahora, prepara la masa mezclando la harina de maíz, una pizca de sal y agregando poco a poco el agua hasta tener una consistencia de masa."", ""Ya que tengas tu masa, toma una porción, moldéala en forma circular con tus manos, agrega una cucharada de los frijoles refritos, cierra envolviendo el relleno y termina de dar forma en espiga."", ""Calienta un comal y cocina por ambos lados el tlacoyo por 3 minutos, notarás que se inflan un poco, en ese momento ya están listos."", ""Luego fríe con un poco de aceite los tlacoyos hasta que estén doraditos, retira el exceso de aceite si es necesario."", ""Sirve tus tlacoyos hidalguenses, báñalos con la salsa verde y acompaña con queso fresco, cebolla, crema y unos rábanos en rodajas.""]"
